Sl.No.,State,Government - No. of College,Government - Seats,Private - No. of Colleges,Private - Seats,Total - No. of Colleges,Total - Seats
1,Andhra Pradesh,13,2050,19,2750,32,4800
2,A & N Islands,1,100,0,0,1,100
3,Assam,6,726,0,0,6,726
4,Bihar,9,950,4,400,13,1350
5,Chandigarh,1,100,0,0,1,100
6,Chhattisgarh,6,650,3,450,9,1100
7,Delhi,6,900,2,200,8,1100
8,Goa,1,150,0,0,1,150
9,Gujarat,11,1930,14,1600,25,3530
10,Haryana,4,500,6,750,10,1250
11,Himachal Pradesh,3,300,1,150,4,450
12,Jammu & Kashmir,3,400,1,100,4,500
13,Jharkhand,3,350,0,0,3,350
14,Karnataka,18,2300,38,5945,56,8245
15,Kerala,9,1250,24,2800,33,4050
16,Madhya Pradesh,6,800,12,1800,18,2600
17,Maharashtra,22,3050,28,4070,50,7120
18,Manipur,2,200,0,0,2,200
19,Meghalaya,1,50,0,0,1,50
20,Orissa,3,650,5,600,8,1250
21,Pondicherry,1,150,7,1050,8,1200
22,Punjab,3,500,7,875,10,1375
23,Rajasthan,8,1450,8,1200,16,2650
24,Sikkim,0,0,1,100,1,100
25,Tamil Nadu,23,3015,26,3600,49,6615
26,Telangana,6,1000,18,2650,24,3650
27,Tripura,2,200,0,0,2,200
28,Uttar Pradesh,16,2049,29,4000,45,6049
29,Uttarakhand,3,350,3,450,6,800
30,West Bengal,14,2150,4,550,18,2700
31,AIIMS*,7,673,0,0,7,673
32,JIPMER*,1,150,0,0,1,150
TOTAL,TOTAL,212,29093,260,36090,472,65183
